analysis-no-repens.txt 
  Dbar: 221.5821
  Dhat: 128.3501
    pD: 93.23203
   DIC: 314.8142



 analysis-no-repens.txt results...Inference for Bugs model at "analysis-no-repens.txt", fit using jags,
beta.pink.fl.per.head[3,1]  -1.464   1.914  -5.262  -2.750  -1.447  -0.158   2.269 1.001 25000
beta.pink.fl.per.head[4,1]   0.932   2.697  -4.229  -0.914   0.914   2.747   6.262 1.001 12000
beta.pink.fl.per.head[1,2]   1.734   2.315  -2.843   0.204   1.734   3.292   6.280 1.001 21000
beta.pink.fl.per.head[2,2]  -0.173   1.983  -4.186  -1.476  -0.126   1.182   3.558 1.001 17000
beta.pink.fl.per.head[3,2]  -1.464   1.914  -5.262  -2.750  -1.447  -0.158   2.269 1.001 25000
beta.pink.fl.per.head[4,2]   0.932   2.697  -4.229  -0.914   0.914   2.747   6.262 1.001 12000
beta.pink.infest[1,1]        3.980   1.935   0.496   2.632   3.857   5.214   8.083 1.001 14000
beta.pink.infest[2,1]       -4.760   2.009  -8.956  -6.051  -4.683  -3.366  -1.055 1.001 25000
beta.pink.infest[3,1]       -2.626   1.696  -6.001  -3.751  -2.599  -1.473   0.612 1.001 15000
beta.pink.infest[4,1]       -1.693   2.436  -6.522  -3.320  -1.696  -0.080   3.138 1.001 14000
beta.pink.infest[1,2]        3.980   1.935   0.496   2.632   3.857   5.214   8.083 1.001 14000
beta.pink.infest[2,2]       -4.760   2.009  -8.956  -6.051  -4.683  -3.366  -1.055 1.001 25000
beta.pink.infest[3,2]       -2.626   1.696  -6.001  -3.751  -2.599  -1.473   0.612 1.001 15000
beta.pink.infest[4,2]       -1.693   2.436  -6.522  -3.320  -1.696  -0.080   3.138 1.001 14000
beta.pink.long[1,1]         -3.460   2.299  -8.206  -4.970  -3.364  -1.880   0.790 1.001  9100
beta.pink.long[2,1]         -6.375   2.352 -11.351  -7.867  -6.250  -4.709  -2.161 1.001 25000
beta.pink.long[3,1]         -1.719   1.649  -4.975  -2.821  -1.719  -0.592   1.476 1.001 22000
beta.pink.long[4,1]         -3.972   2.015  -8.169  -5.266  -3.866  -2.564  -0.306 1.001 16000
beta.pink.long[1,2]         -3.460   2.299  -8.206  -4.970  -3.364  -1.880   0.790 1.001  9100
beta.pink.long[2,2]         -6.375   2.352 -11.351  -7.867  -6.250  -4.709  -2.161 1.001 25000
beta.pink.long[3,2]         -1.719   1.649  -4.975  -2.821  -1.719  -0.592   1.476 1.001 22000
beta.pink.long[4,2]         -3.972   2.015  -8.169  -5.266  -3.866  -2.564  -0.306 1.001 16000
beta.pink.map[1,1]          -2.024   1.728  -5.541  -3.166  -1.982  -0.848   1.251 1.001 11000
beta.pink.map[2,1]           0.323   1.572  -2.845  -0.705   0.342   1.379   3.367 1.001 25000
beta.pink.map[3,1]          -0.548   1.195  -2.931  -1.331  -0.538   0.257   1.748 1.001 16000
beta.pink.map[4,1]          -0.022   2.324  -4.534  -1.578  -0.029   1.497   4.673 1.001  8200
beta.pink.map[1,2]          -2.024   1.728  -5.541  -3.166  -1.982  -0.848   1.251 1.001 11000
beta.pink.map[2,2]           0.323   1.572  -2.845  -0.705   0.342   1.379   3.367 1.001 25000
beta.pink.map[3,2]          -0.548   1.195  -2.931  -1.331  -0.538   0.257   1.748 1.001 16000
beta.pink.map[4,2]          -0.022   2.324  -4.534  -1.578  -0.029   1.497   4.673 1.001  8200
beta.pink.seed.mass[1,1]    -1.086   2.080  -5.229  -2.458  -1.060   0.313   2.893 1.001 18000
beta.pink.seed.mass[2,1]     1.960   2.437  -2.530   0.277   1.856   3.530   7.001 1.001 25000
beta.pink.seed.mass[3,1]    -0.852   2.767  -6.222  -2.714  -0.858   0.992   4.684 1.001 13000
beta.pink.seed.mass[4,1]    -2.378   3.037  -8.224  -4.440  -2.400  -0.337   3.583 1.001 21000
beta.pink.seed.mass[1,2]    -1.086   2.080  -5.229  -2.458  -1.060   0.313   2.893 1.001 18000
beta.pink.seed.mass[2,2]     1.960   2.437  -2.530   0.277   1.856   3.530   7.001 1.001 25000
beta.pink.seed.mass[3,2]    -0.852   2.767  -6.222  -2.714  -0.858   0.992   4.684 1.001 13000
beta.pink.seed.mass[4,2]    -2.378   3.037  -8.224  -4.440  -2.400  -0.337   3.583 1.001 21000
beta.poly.0[1,1]            -3.056   3.433 -10.047  -5.335  -2.937  -0.670   3.368 1.001 25000
beta.poly.0[2,1]            -1.489   2.621  -6.520  -3.250  -1.518   0.233   3.747 1.001 11000
beta.poly.0[1,2]            -3.865   3.320 -10.560  -6.095  -3.790  -1.612   2.505 1.001 25000
beta.poly.0[2,2]            -0.851   2.788  -6.236  -2.748  -0.862   1.065   4.584 1.001 25000
beta.poly.0[1,3]            -3.315   3.405 -10.198  -5.581  -3.244  -0.995   3.225 1.001 15000
beta.poly.0[2,3]             4.572   3.125  -1.446   2.444   4.538   6.680  10.772 1.001 21000
beta.poly.0[1,4]            -2.705   1.831  -6.535  -3.876  -2.614  -1.420   0.557 1.001  5600
beta.poly.0[2,4]             1.133   1.422  -1.587   0.172   1.113   2.077   3.957 1.001 11000
beta.poly.elev[1,1]         -0.575   1.375  -3.321  -1.489  -0.564   0.343   2.079 1.001 19000
beta.poly.elev[2,1]          0.282   1.103  -1.846  -0.460   0.265   1.020   2.486 1.001 25000
beta.poly.elev[1,2]         -0.575   1.375  -3.321  -1.489  -0.564   0.343   2.079 1.001 19000
beta.poly.elev[2,2]          0.282   1.103  -1.846  -0.460   0.265   1.020   2.486 1.001 25000
beta.poly.fecundity[1,1]     0.817   1.669  -2.425  -0.302   0.803   1.923   4.111 1.001  8000
beta.poly.fecundity[2,1]    -1.073   1.348  -3.709  -1.978  -1.062  -0.164   1.553 1.001 24000
beta.poly.fecundity[1,2]     0.817   1.669  -2.425  -0.302   0.803   1.923   4.111 1.001  8000
beta.poly.fecundity[2,2]    -1.073   1.348  -3.709  -1.978  -1.062  -0.164   1.553 1.001 24000
beta.poly.fl.per.head[1,1]   2.218   1.715  -1.078   1.068   2.190   3.339   5.695 1.001 25000
beta.poly.fl.per.head[2,1]  -1.200   1.506  -4.142  -2.217  -1.204  -0.192   1.784 1.001  9500
beta.poly.fl.per.head[1,2]   2.218   1.715  -1.078   1.068   2.190   3.339   5.695 1.001 25000
beta.poly.fl.per.head[2,2]  -1.200   1.506  -4.142  -2.217  -1.204  -0.192   1.784 1.001  9500
beta.poly.infest[1,1]        3.563   1.511   0.839   2.521   3.474   4.519   6.744 1.001 25000
beta.poly.infest[2,1]       -2.264   1.275  -4.932  -3.074  -2.221  -1.400   0.110 1.001  8700
beta.poly.infest[1,2]        3.563   1.511   0.839   2.521   3.474   4.519   6.744 1.001 25000
beta.poly.infest[2,2]       -2.264   1.275  -4.932  -3.074  -2.221  -1.400   0.110 1.001  8700
beta.poly.long[1,1]          0.964   1.193  -1.335   0.163   0.940   1.745   3.387 1.001 25000
beta.poly.long[2,1]         -2.127   1.155  -4.571  -2.876  -2.066  -1.323  -0.030 1.001 10000
beta.poly.long[1,2]          0.964   1.193  -1.335   0.163   0.940   1.745   3.387 1.001 25000
beta.poly.long[2,2]         -2.127   1.155  -4.571  -2.876  -2.066  -1.323  -0.030 1.001 10000
beta.poly.map[1,1]          -0.709   1.325  -3.358  -1.587  -0.688   0.188   1.837 1.001 25000
beta.poly.map[2,1]           1.246   0.934  -0.524   0.614   1.218   1.858   3.160 1.001 19000
beta.poly.map[1,2]          -0.709   1.325  -3.358  -1.587  -0.688   0.188   1.837 1.001 25000
beta.poly.map[2,2]           1.246   0.934  -0.524   0.614   1.218   1.858   3.160 1.001 19000
beta.poly.seed.mass[1,1]     1.456   1.668  -1.690   0.324   1.412   2.547   4.824 1.001 11000
beta.poly.seed.mass[2,1]     3.539   2.274  -0.639   1.937   3.439   5.018   8.268 1.001 19000
beta.poly.seed.mass[1,2]     1.456   1.668  -1.690   0.324   1.412   2.547   4.824 1.001 11000
beta.poly.seed.mass[2,2]     3.539   2.274  -0.639   1.937   3.439   5.018   8.268 1.001 19000
beta.seed.mass.elev[1]      -0.355   0.115  -0.583  -0.430  -0.356  -0.282  -0.127 1.001 25000
beta.seed.mass.elev[2]      -0.355   0.115  -0.583  -0.430  -0.356  -0.282  -0.127 1.001 25000
beta.seed.mass.long[1]       0.011   0.140  -0.270  -0.079   0.012   0.102   0.286 1.001 25000
beta.seed.mass.long[2]       0.011   0.140  -0.270  -0.079   0.012   0.102   0.286 1.001 25000
beta.seed.mass.map[1]       -0.311   0.127  -0.565  -0.393  -0.310  -0.229  -0.062 1.001  7900
beta.seed.mass.map[2]       -0.311   0.127  -0.565  -0.393  -0.310  -0.229  -0.062 1.001  7900
eps.fecundity.species[1]    -1.182   0.251  -1.684  -1.346  -1.180  -1.018  -0.686 1.001 25000
eps.fecundity.species[2]    -1.815   0.453  -2.699  -2.111  -1.821  -1.521  -0.912 1.001 25000
eps.fecundity.species[3]    -1.183   0.333  -1.836  -1.397  -1.183  -0.969  -0.519 1.001 25000
eps.fecundity.species[4]     0.798   0.140   0.520   0.708   0.798   0.889   1.077 1.001 18000
eps.fl.per.head.species[1]  -0.898   0.312  -1.518  -1.100  -0.897  -0.696  -0.281 1.001 13000
eps.fl.per.head.species[2]   0.825   0.560  -0.281   0.461   0.828   1.190   1.932 1.001 20000
eps.fl.per.head.species[3]   1.433   0.411   0.608   1.169   1.436   1.701   2.248 1.001 23000
eps.fl.per.head.species[4]  -0.160   0.172  -0.499  -0.271  -0.161  -0.051   0.182 1.001 18000
eps.infest.species[1]        0.183   0.758  -1.306  -0.309   0.173   0.669   1.714 1.001 12000
eps.infest.species[2]       -0.576   1.198  -2.903  -1.378  -0.593   0.209   1.815 1.001  8000
eps.infest.species[3]       -2.425   1.017  -4.384  -3.101  -2.448  -1.765  -0.352 1.001 14000
eps.infest.species[4]        0.522   0.478  -0.445   0.210   0.531   0.841   1.443 1.001  7800
eps.seed.mass.species[1]    -0.942   0.260  -1.452  -1.111  -0.944  -0.774  -0.421 1.001 25000
eps.seed.mass.species[2]    -1.249   0.456  -2.142  -1.543  -1.249  -0.955  -0.348 1.001 25000
eps.seed.mass.species[3]    -1.059   0.338  -1.723  -1.276  -1.059  -0.843  -0.386 1.001 20000
eps.seed.mass.species[4]     0.634   0.142   0.351   0.542   0.636   0.727   0.912 1.001 24000
tau.fecundity                4.536   1.545   2.042   3.421   4.357   5.449   8.048 1.001 25000
tau.fl.per.head              2.936   0.991   1.336   2.211   2.827   3.531   5.176 1.001 15000
tau.seed.mass                4.367   1.495   1.946   3.291   4.201   5.262   7.742 1.001 25000
deviance                   221.582  13.654 197.097 211.986 220.862 230.273 250.339 1.001 25000

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 93.2 and DIC = 314.8
DIC is an estimate of expected predictive error (lower deviance is better).



95% HPD intervals
                      Coefficient        lo       hi
---------------------------------   -------  -------
                  alpha.pink.0[1]    -7.742    1.212
                  alpha.pink.0[2]    -5.992    2.107
                  alpha.pink.0[3]    -0.242    8.422
                  alpha.pink.0[4]    -0.798    9.128
                  alpha.pink.elev    -5.969    0.754
             alpha.pink.fecundity    -1.767    4.805
           alpha.pink.fl.per.head    -3.059    3.551
                alpha.pink.infest    -4.122    2.321
                  alpha.pink.long    -6.313    0.146
                   alpha.pink.map    -3.630    2.568
             alpha.pink.seed.mass    -4.083    3.223
                  alpha.poly.0[1]    -6.749    1.299
                  alpha.poly.0[2]    -2.873    4.320
                  alpha.poly.elev    -3.659    3.682
             alpha.poly.fecundity    -3.999    3.613
           alpha.poly.fl.per.head    -3.350    4.221
                alpha.poly.infest    -3.386    4.025
                  alpha.poly.long    -3.936    3.310
                   alpha.poly.map    -3.524    3.827
             alpha.poly.seed.mass    -2.260    5.765
           beta.fecundity.elev[1]    -0.490   -0.044*
           beta.fecundity.elev[2]    -0.490   -0.044*
           beta.fecundity.long[1]    -0.038    0.510
           beta.fecundity.long[2]    -0.038    0.510
            beta.fecundity.map[1]    -0.012    0.482
            beta.fecundity.map[2]    -0.012    0.482
         beta.fl.per.head.elev[1]    -0.140    0.412
         beta.fl.per.head.elev[2]    -0.140    0.412
         beta.fl.per.head.long[1]    -0.210    0.464
         beta.fl.per.head.long[2]    -0.210    0.464
          beta.fl.per.head.map[1]    -0.010    0.599
          beta.fl.per.head.map[2]    -0.010    0.599
              beta.infest.elev[1]    -0.499    0.437
              beta.infest.elev[2]    -0.499    0.437
         beta.infest.fecundity[1]    -1.319    0.380
         beta.infest.fecundity[2]    -1.319    0.380
       beta.infest.fl.per.head[1]    -0.295    1.217
       beta.infest.fl.per.head[2]    -0.295    1.217
              beta.infest.long[1]    -0.550    0.431
              beta.infest.long[2]    -0.550    0.431
               beta.infest.map[1]    -0.355    0.548
               beta.infest.map[2]    -0.355    0.548
         beta.infest.seed.mass[1]    -0.325    1.291
         beta.infest.seed.mass[2]    -0.325    1.291
                 beta.pink.0[1,1]   -10.738    3.628
                 beta.pink.0[1,2]   -11.487    1.904
                 beta.pink.0[1,3]   -11.188    3.217
                 beta.pink.0[1,4]    -9.252    0.947
                 beta.pink.0[2,1]    -8.879    2.731
                 beta.pink.0[2,2]    -8.887    3.571
                 beta.pink.0[2,3]    -8.197    5.581
                 beta.pink.0[2,4]    -7.593    1.843
                 beta.pink.0[3,1]     0.421   13.259*
                 beta.pink.0[3,2]    -0.537   12.777
                 beta.pink.0[3,3]    -5.478    8.278
                 beta.pink.0[3,4]     1.552   10.853*
                 beta.pink.0[4,1]    -2.521   12.453
                 beta.pink.0[4,2]    -3.468   12.005
                 beta.pink.0[4,3]    -2.288   12.785
                 beta.pink.0[4,4]     0.639   12.879*
              beta.pink.elev[1,1]    -5.523    3.277
              beta.pink.elev[1,2]    -5.523    3.277
              beta.pink.elev[2,1]    -9.797   -1.050*
              beta.pink.elev[2,2]    -9.797   -1.050*
              beta.pink.elev[3,1]   -10.010   -2.155*
              beta.pink.elev[3,2]   -10.010   -2.155*
              beta.pink.elev[4,1]    -5.041    4.508
              beta.pink.elev[4,2]    -5.041    4.508
         beta.pink.fecundity[1,1]    -0.770    6.910
         beta.pink.fecundity[1,2]    -0.770    6.910
         beta.pink.fecundity[2,1]    -1.905    6.365
         beta.pink.fecundity[2,2]    -1.905    6.365
         beta.pink.fecundity[3,1]    -3.105    4.109
         beta.pink.fecundity[3,2]    -3.105    4.109
         beta.pink.fecundity[4,1]    -3.399    6.721
         beta.pink.fecundity[4,2]    -3.399    6.721
       beta.pink.fl.per.head[1,1]    -2.942    6.146
       beta.pink.fl.per.head[1,2]    -2.942    6.146
       beta.pink.fl.per.head[2,1]    -4.091    3.630
       beta.pink.fl.per.head[2,2]    -4.091    3.630
       beta.pink.fl.per.head[3,1]    -5.144    2.377
       beta.pink.fl.per.head[3,2]    -5.144    2.377
       beta.pink.fl.per.head[4,1]    -4.290    6.165
       beta.pink.fl.per.head[4,2]    -4.290    6.165
            beta.pink.infest[1,1]     0.325    7.855*
            beta.pink.infest[1,2]     0.325    7.855*
            beta.pink.infest[2,1]    -8.780   -0.943*
            beta.pink.infest[2,2]    -8.780   -0.943*
            beta.pink.infest[3,1]    -6.001    0.610
            beta.pink.infest[3,2]    -6.001    0.610
            beta.pink.infest[4,1]    -6.696    2.940
            beta.pink.infest[4,2]    -6.696    2.940
              beta.pink.long[1,1]    -8.052    0.912
              beta.pink.long[1,2]    -8.052    0.912
              beta.pink.long[2,1]   -11.105   -1.979*
              beta.pink.long[2,2]   -11.105   -1.979*
              beta.pink.long[3,1]    -4.942    1.495
              beta.pink.long[3,2]    -4.942    1.495
              beta.pink.long[4,1]    -8.060   -0.218*
              beta.pink.long[4,2]    -8.060   -0.218*
               beta.pink.map[1,1]    -5.490    1.291
               beta.pink.map[1,2]    -5.490    1.291
               beta.pink.map[2,1]    -2.742    3.446
               beta.pink.map[2,2]    -2.742    3.446
               beta.pink.map[3,1]    -2.873    1.798
               beta.pink.map[3,2]    -2.873    1.798
               beta.pink.map[4,1]    -4.602    4.578
               beta.pink.map[4,2]    -4.602    4.578
         beta.pink.seed.mass[1,1]    -5.182    2.933
         beta.pink.seed.mass[1,2]    -5.182    2.933
         beta.pink.seed.mass[2,1]    -2.685    6.823
         beta.pink.seed.mass[2,2]    -2.685    6.823
         beta.pink.seed.mass[3,1]    -6.233    4.654
         beta.pink.seed.mass[3,2]    -6.233    4.654
         beta.pink.seed.mass[4,1]    -8.331    3.452
         beta.pink.seed.mass[4,2]    -8.331    3.452
                 beta.poly.0[1,1]    -9.691    3.682
                 beta.poly.0[1,2]   -10.462    2.554
                 beta.poly.0[1,3]   -10.243    3.143
                 beta.poly.0[1,4]    -6.409    0.657
                 beta.poly.0[2,1]    -6.593    3.652
                 beta.poly.0[2,2]    -6.262    4.548
                 beta.poly.0[2,3]    -1.620   10.587
                 beta.poly.0[2,4]    -1.591    3.950
              beta.poly.elev[1,1]    -3.300    2.096
              beta.poly.elev[1,2]    -3.300    2.096
              beta.poly.elev[2,1]    -1.846    2.486
              beta.poly.elev[2,2]    -1.846    2.486
         beta.poly.fecundity[1,1]    -2.451    4.074
         beta.poly.fecundity[1,2]    -2.451    4.074
         beta.poly.fecundity[2,1]    -3.733    1.520
         beta.poly.fecundity[2,2]    -3.733    1.520
       beta.poly.fl.per.head[1,1]    -1.152    5.605
       beta.poly.fl.per.head[1,2]    -1.152    5.605
       beta.poly.fl.per.head[2,1]    -4.225    1.682
       beta.poly.fl.per.head[2,2]    -4.225    1.682
            beta.poly.infest[1,1]     0.653    6.519*
            beta.poly.infest[1,2]     0.653    6.519*
            beta.poly.infest[2,1]    -4.766    0.246
            beta.poly.infest[2,2]    -4.766    0.246
              beta.poly.long[1,1]    -1.366    3.349
              beta.poly.long[1,2]    -1.366    3.349
              beta.poly.long[2,1]    -4.469    0.045
              beta.poly.long[2,2]    -4.469    0.045
               beta.poly.map[1,1]    -3.325    1.859
               beta.poly.map[1,2]    -3.325    1.859
               beta.poly.map[2,1]    -0.618    3.053
               beta.poly.map[2,2]    -0.618    3.053
         beta.poly.seed.mass[1,1]    -1.688    4.825
         beta.poly.seed.mass[1,2]    -1.688    4.825
         beta.poly.seed.mass[2,1]    -0.826    8.051
         beta.poly.seed.mass[2,2]    -0.826    8.051
           beta.seed.mass.elev[1]    -0.578   -0.123*
           beta.seed.mass.elev[2]    -0.578   -0.123*
           beta.seed.mass.long[1]    -0.266    0.289
           beta.seed.mass.long[2]    -0.266    0.289
            beta.seed.mass.map[1]    -0.566   -0.064*
            beta.seed.mass.map[2]    -0.566   -0.064*
                         deviance   196.484  249.508*
         eps.fecundity.species[1]    -1.695   -0.700*
         eps.fecundity.species[2]    -2.694   -0.909*
         eps.fecundity.species[3]    -1.851   -0.534*
         eps.fecundity.species[4]     0.516    1.071*
       eps.fl.per.head.species[1]    -1.518   -0.281*
       eps.fl.per.head.species[2]    -0.316    1.891
       eps.fl.per.head.species[3]     0.592    2.230*
       eps.fl.per.head.species[4]    -0.505    0.175
            eps.infest.species[1]    -1.253    1.758
            eps.infest.species[2]    -2.930    1.783
            eps.infest.species[3]    -4.437   -0.413*
            eps.infest.species[4]    -0.462    1.424
         eps.seed.mass.species[1]    -1.455   -0.425*
         eps.seed.mass.species[2]    -2.149   -0.356*
         eps.seed.mass.species[3]    -1.725   -0.389*
         eps.seed.mass.species[4]     0.350    0.910*
                    tau.fecundity     1.714    7.517*
