analysis-full.txt 
  Dbar: 207.5032
  Dhat: 77.90697
    pD: 129.5962
   DIC: 337.0994



 analysis-full.txt results...Inference for Bugs model at "analysis-full.txt", fit using jags,
beta.pink.fl.per.head[3,1]  -1.109   2.567  -6.145  -2.810  -1.102   0.608   3.939 1.001  7100
beta.pink.fl.per.head[4,1]   0.266   2.842  -5.239  -1.658   0.246   2.183   5.864 1.001 25000
beta.pink.fl.per.head[1,2]   2.596   2.589  -2.436   0.841   2.581   4.342   7.693 1.002  4900
beta.pink.fl.per.head[2,2]  -2.795   2.622  -7.975  -4.564  -2.774  -1.021   2.339 1.001 19000
beta.pink.fl.per.head[3,2]   0.793   2.969  -4.949  -1.234   0.756   2.778   6.731 1.001 15000
beta.pink.fl.per.head[4,2]  -0.223   3.228  -6.494  -2.389  -0.222   1.932   6.147 1.001 11000
beta.pink.infest[1,1]        0.878   2.886  -4.629  -1.091   0.798   2.754   6.780 1.001 24000
beta.pink.infest[2,1]       -4.143   2.519  -9.298  -5.786  -4.058  -2.425   0.612 1.001 13000
beta.pink.infest[3,1]       -2.837   2.617  -7.997  -4.581  -2.807  -1.066   2.261 1.001 23000
beta.pink.infest[4,1]       -1.641   3.041  -7.784  -3.671  -1.569   0.459   4.134 1.001 25000
beta.pink.infest[1,2]        2.729   2.241  -1.437   1.168   2.641   4.209   7.296 1.001 13000
beta.pink.infest[2,2]       -1.654   2.915  -7.595  -3.583  -1.564   0.351   3.808 1.001 23000
beta.pink.infest[3,2]       -0.300   2.826  -6.011  -2.145  -0.250   1.608   5.109 1.001 21000
beta.pink.infest[4,2]       -2.059   2.622  -7.133  -3.827  -2.113  -0.348   3.200 1.001 18000
beta.pink.long[1,1]         -1.940   3.335  -8.456  -4.174  -1.918   0.311   4.539 1.001 25000
beta.pink.long[2,1]         -4.258   3.103 -10.500  -6.334  -4.198  -2.162   1.745 1.001 24000
beta.pink.long[3,1]         -3.202   3.018  -9.208  -5.214  -3.163  -1.135   2.598 1.001 10000
beta.pink.long[4,1]         -3.455   3.207  -9.850  -5.589  -3.411  -1.290   2.709 1.001 25000
beta.pink.long[1,2]         -5.833   2.324 -10.768  -7.304  -5.689  -4.179  -1.711 1.001 11000
beta.pink.long[2,2]         -3.901   2.347  -8.637  -5.468  -3.852  -2.257   0.501 1.001 18000
beta.pink.long[3,2]         -1.473   2.353  -6.327  -2.984  -1.408   0.139   2.943 1.001 25000
beta.pink.long[4,2]         -3.813   2.015  -7.986  -5.137  -3.716  -2.409  -0.124 1.001  5600
beta.pink.map[1,1]          -1.079   2.821  -6.768  -2.960  -1.035   0.876   4.275 1.001 25000
beta.pink.map[2,1]          -0.655   2.419  -5.474  -2.262  -0.622   0.969   4.023 1.001 17000
beta.pink.map[3,1]          -1.614   2.265  -6.235  -3.079  -1.530  -0.060   2.601 1.001 13000
beta.pink.map[4,1]           0.878   2.635  -4.100  -0.914   0.791   2.601   6.258 1.001 25000
beta.pink.map[1,2]          -1.531   2.107  -5.649  -2.936  -1.546  -0.116   2.612 1.001 25000
beta.pink.map[2,2]           1.356   2.802  -4.060  -0.514   1.296   3.189   6.934 1.001 13000
beta.pink.map[3,2]           2.237   2.705  -2.964   0.422   2.211   4.023   7.629 1.001 24000
beta.pink.map[4,2]          -1.177   2.775  -6.768  -3.015  -1.113   0.706   4.102 1.001 21000
beta.pink.seed.mass[1,1]     1.708   3.412  -5.027  -0.583   1.701   4.010   8.405 1.001 25000
beta.pink.seed.mass[2,1]    -1.286   3.359  -7.897  -3.565  -1.265   0.991   5.249 1.001 11000
beta.pink.seed.mass[3,1]     1.073   3.315  -5.382  -1.175   1.060   3.321   7.574 1.001  5000
beta.pink.seed.mass[4,1]    -2.766   3.387  -9.408  -5.056  -2.772  -0.478   3.836 1.001 21000
beta.pink.seed.mass[1,2]    -1.973   2.564  -7.237  -3.644  -1.889  -0.185   2.783 1.001  7100
beta.pink.seed.mass[2,2]     0.855   3.001  -4.851  -1.171   0.770   2.824   6.977 1.001 25000
beta.pink.seed.mass[3,2]     0.116   3.188  -6.009  -2.052   0.050   2.234   6.434 1.001 20000
beta.pink.seed.mass[4,2]    -0.933   3.396  -7.561  -3.224  -0.985   1.339   5.839 1.001 21000
beta.poly.0[1,1]            -2.377   3.694  -9.627  -4.848  -2.365   0.109   4.823 1.001 25000
beta.poly.0[2,1]            -1.668   3.373  -8.378  -3.954  -1.653   0.641   4.842 1.001 12000
beta.poly.0[1,2]            -2.100   3.801  -9.551  -4.651  -2.057   0.446   5.320 1.001 25000
beta.poly.0[2,2]            -1.637   3.498  -8.517  -3.990  -1.650   0.708   5.255 1.001 13000
beta.poly.0[1,3]            -2.077   3.844  -9.690  -4.653  -2.070   0.512   5.411 1.001 25000
beta.poly.0[2,3]             1.414   3.736  -5.819  -1.130   1.391   3.935   8.849 1.001 16000
beta.poly.0[1,4]            -1.048   2.304  -5.835  -2.571  -0.964   0.559   3.212 1.001 16000
beta.poly.0[2,4]            -0.488   2.318  -5.082  -2.036  -0.492   1.061   4.052 1.001  6600
beta.poly.elev[1,1]         -0.837   3.241  -7.314  -3.002  -0.826   1.369   5.447 1.001 25000
beta.poly.elev[2,1]         -2.816   2.406  -7.715  -4.391  -2.736  -1.159   1.642 1.001 25000
beta.poly.elev[1,2]         -1.034   1.457  -3.978  -1.987  -1.004  -0.049   1.787 1.001 25000
beta.poly.elev[2,2]          1.384   1.489  -1.478   0.388   1.347   2.360   4.396 1.001 25000
beta.poly.fecundity[1,1]     2.680   3.165  -3.373   0.518   2.632   4.776   9.040 1.001 24000
beta.poly.fecundity[2,1]     0.707   2.665  -4.445  -1.116   0.696   2.521   5.984 1.002  3700
beta.poly.fecundity[1,2]    -0.724   2.202  -5.241  -2.148  -0.679   0.771   3.443 1.002  4300
beta.poly.fecundity[2,2]     0.526   1.761  -2.852  -0.661   0.500   1.684   4.081 1.001 25000
beta.poly.fl.per.head[1,1]  -0.645   3.013  -6.583  -2.673  -0.618   1.374   5.279 1.001 25000
beta.poly.fl.per.head[2,1]   2.008   2.337  -2.495   0.415   1.985   3.590   6.611 1.001 25000
beta.poly.fl.per.head[1,2]   3.608   2.030  -0.220   2.227   3.561   4.926   7.752 1.002  3100
beta.poly.fl.per.head[2,2]  -4.794   2.507  -9.766  -6.466  -4.780  -3.095   0.064 1.001 25000
beta.poly.infest[1,1]        1.450   2.955  -4.109  -0.561   1.377   3.417   7.488 1.001 23000
beta.poly.infest[2,1]       -4.031   2.508  -9.324  -5.665  -3.901  -2.285   0.579 1.001  9800
beta.poly.infest[1,2]        2.904   1.658  -0.095   1.748   2.832   3.958   6.409 1.001 24000
beta.poly.infest[2,2]        0.466   1.869  -3.033  -0.796   0.412   1.670   4.310 1.001 20000
beta.poly.long[1,1]          0.557   3.350  -5.998  -1.701   0.582   2.768   7.130 1.001 17000
beta.poly.long[2,1]         -0.979   2.792  -6.467  -2.830  -0.987   0.853   4.587 1.001  5600
beta.poly.long[1,2]         -0.048   1.257  -2.493  -0.875  -0.068   0.760   2.502 1.001 11000
beta.poly.long[2,2]         -1.216   1.485  -4.323  -2.153  -1.155  -0.196   1.546 1.001 11000
beta.poly.map[1,1]          -0.661   2.705  -6.265  -2.390  -0.558   1.187   4.410 1.001 25000
beta.poly.map[2,1]           0.269   1.500  -2.730  -0.721   0.283   1.280   3.182 1.001  7300
beta.poly.map[1,2]          -0.104   1.820  -3.548  -1.356  -0.145   1.076   3.615 1.001 25000
beta.poly.map[2,2]           3.082   1.923  -0.353   1.749   2.961   4.294   7.150 1.001 25000
beta.poly.seed.mass[1,1]     4.193   3.489  -2.678   1.835   4.178   6.578  10.946 1.001  6600
beta.poly.seed.mass[2,1]     0.135   3.214  -6.222  -2.007   0.148   2.285   6.488 1.001  5100
beta.poly.seed.mass[1,2]     1.175   1.791  -2.368   0.003   1.152   2.353   4.759 1.001  5900
beta.poly.seed.mass[2,2]     6.120   2.997   0.463   4.037   6.038   8.114  12.188 1.001  9000
beta.seed.mass.elev[1]       0.146   0.527  -0.891  -0.196   0.139   0.486   1.201 1.001 25000
beta.seed.mass.elev[2]      -0.369   0.126  -0.621  -0.451  -0.369  -0.288  -0.117 1.001 25000
beta.seed.mass.long[1]      -0.111   0.273  -0.656  -0.287  -0.112   0.068   0.430 1.001 25000
beta.seed.mass.long[2]       0.044   0.205  -0.365  -0.087   0.044   0.177   0.443 1.001 25000
beta.seed.mass.map[1]        0.015   0.377  -0.736  -0.226   0.017   0.260   0.754 1.001 25000
beta.seed.mass.map[2]       -0.353   0.140  -0.630  -0.443  -0.352  -0.263  -0.073 1.001 25000
eps.fecundity.species[1]    -1.165   0.291  -1.741  -1.356  -1.166  -0.980  -0.582 1.001 25000
eps.fecundity.species[2]    -1.336   0.973  -3.245  -1.970  -1.346  -0.705   0.604 1.001 25000
eps.fecundity.species[3]    -1.082   0.585  -2.235  -1.462  -1.086  -0.700   0.080 1.001 17000
eps.fecundity.species[4]     0.842   0.148   0.547   0.746   0.842   0.937   1.133 1.001 25000
eps.fl.per.head.species[1]  -0.961   0.343  -1.637  -1.181  -0.964  -0.741  -0.272 1.001 25000
eps.fl.per.head.species[2]   0.489   1.130  -1.726  -0.249   0.498   1.225   2.727 1.001 17000
eps.fl.per.head.species[3]   1.405   0.687   0.031   0.963   1.411   1.849   2.755 1.001 13000
eps.fl.per.head.species[4]  -0.109   0.176  -0.461  -0.222  -0.108   0.005   0.241 1.001 25000
eps.infest.species[1]       -1.168   2.109  -5.196  -2.601  -1.182   0.223   3.033 1.001 25000
eps.infest.species[2]       -0.801   1.849  -4.374  -2.049  -0.825   0.393   2.937 1.001 25000
eps.infest.species[3]       -1.529   2.618  -6.603  -3.304  -1.530   0.233   3.683 1.001 13000
eps.infest.species[4]        0.377   0.620  -0.884  -0.014   0.378   0.770   1.605 1.001 25000
eps.seed.mass.species[1]    -0.784   0.293  -1.360  -0.974  -0.784  -0.594  -0.203 1.001 25000
eps.seed.mass.species[2]    -0.445   0.992  -2.383  -1.099  -0.454   0.202   1.538 1.001 25000
eps.seed.mass.species[3]    -1.314   0.587  -2.467  -1.694  -1.316  -0.938  -0.158 1.001 25000
eps.seed.mass.species[4]     0.640   0.151   0.342   0.544   0.640   0.738   0.940 1.001 15000
tau.fecundity                4.284   1.581   1.762   3.141   4.091   5.208   7.930 1.001 15000
tau.fl.per.head              3.025   1.116   1.253   2.206   2.890   3.690   5.574 1.001 24000
tau.seed.mass                4.153   1.538   1.711   3.041   3.960   5.039   7.652 1.001 23000
deviance                   207.503  16.099 178.193 196.370 206.618 217.870 241.291 1.001 25000

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 129.6 and DIC = 337.1
DIC is an estimate of expected predictive error (lower deviance is better).



95% HPD intervals
                      Coefficient        lo       hi
---------------------------------   -------  -------
                  alpha.pink.0[1]    -7.333    2.665
                  alpha.pink.0[2]    -3.472    6.515
                  alpha.pink.0[3]    -6.524    3.591
                  alpha.pink.0[4]    -0.117   10.047
                  alpha.pink.elev    -6.415   -0.169*
             alpha.pink.fecundity    -0.883    5.521
           alpha.pink.fl.per.head    -3.284    2.883
                alpha.pink.infest    -4.048    1.904
                  alpha.pink.long    -6.167   -0.075*
                   alpha.pink.map    -2.889    2.678
             alpha.pink.seed.mass    -4.049    3.454
                  alpha.poly.0[1]    -6.169    3.096
                  alpha.poly.0[2]    -5.038    3.993
                  alpha.poly.elev    -4.071    2.674
             alpha.poly.fecundity    -2.879    4.259
           alpha.poly.fl.per.head    -3.494    3.547
                alpha.poly.infest    -3.258    3.600
                  alpha.poly.long    -3.726    3.035
                   alpha.poly.map    -2.809    3.687
             alpha.poly.seed.mass    -1.687    6.369
           beta.fecundity.elev[1]    -1.252    0.826
           beta.fecundity.elev[2]    -0.469    0.024
           beta.fecundity.long[1]    -0.512    0.539
           beta.fecundity.long[2]     0.029    0.823*
            beta.fecundity.map[1]    -0.613    0.871
            beta.fecundity.map[2]    -0.041    0.502
         beta.fl.per.head.elev[1]    -1.626    0.786
         beta.fl.per.head.elev[2]    -0.071    0.514
         beta.fl.per.head.long[1]    -0.604    0.632
         beta.fl.per.head.long[2]    -0.107    0.825
          beta.fl.per.head.map[1]    -0.701    1.044
          beta.fl.per.head.map[2]    -0.019    0.633
              beta.infest.elev[1]    -0.553    1.934
              beta.infest.elev[2]    -0.719    0.344
         beta.infest.fecundity[1]    -4.068    0.896
         beta.infest.fecundity[2]    -1.424    0.685
       beta.infest.fl.per.head[1]    -3.278    2.125
       beta.infest.fl.per.head[2]    -0.217    1.532
              beta.infest.long[1]    -2.361    1.700
              beta.infest.long[2]    -0.709    0.508
               beta.infest.map[1]    -0.547    1.233
               beta.infest.map[2]    -0.945    0.555
         beta.infest.seed.mass[1]    -2.484    5.143
         beta.infest.seed.mass[2]    -0.487    1.411
                 beta.pink.0[1,1]   -10.922    3.837
                 beta.pink.0[1,2]   -10.590    4.654
                 beta.pink.0[1,3]   -10.426    5.111
                 beta.pink.0[1,4]    -8.736    3.134
                 beta.pink.0[2,1]    -5.294    9.058
                 beta.pink.0[2,2]    -5.004    9.919
                 beta.pink.0[2,3]    -6.169    9.274
                 beta.pink.0[2,4]    -4.545    8.261
                 beta.pink.0[3,1]    -9.365    5.076
                 beta.pink.0[3,2]    -8.730    6.468
                 beta.pink.0[3,3]   -10.106    5.358
                 beta.pink.0[3,4]    -8.205    4.538
                 beta.pink.0[4,1]    -1.003   13.712
                 beta.pink.0[4,2]    -2.715   12.914
                 beta.pink.0[4,3]    -2.085   13.340
                 beta.pink.0[4,4]     1.523   13.710*
              beta.pink.elev[1,1]    -9.215    3.253
              beta.pink.elev[1,2]    -5.379    3.665
              beta.pink.elev[2,1]   -11.070    0.397
              beta.pink.elev[2,2]    -8.958    0.902
              beta.pink.elev[3,1]   -11.263   -0.109*
              beta.pink.elev[3,2]   -12.966   -2.962*
              beta.pink.elev[4,1]    -8.152    4.250
              beta.pink.elev[4,2]    -6.111    4.237
         beta.pink.fecundity[1,1]    -1.764   10.599
         beta.pink.fecundity[1,2]    -3.493    6.057
         beta.pink.fecundity[2,1]    -4.665    6.754
         beta.pink.fecundity[2,2]    -0.727    9.752
         beta.pink.fecundity[3,1]    -1.909    9.521
         beta.pink.fecundity[3,2]    -3.090    7.764
         beta.pink.fecundity[4,1]    -6.359    5.757
         beta.pink.fecundity[4,2]    -1.993    9.341
       beta.pink.fl.per.head[1,1]    -6.157    5.170
       beta.pink.fl.per.head[1,2]    -2.440    7.687
       beta.pink.fl.per.head[2,1]    -5.397    4.793
       beta.pink.fl.per.head[2,2]    -7.826    2.463
       beta.pink.fl.per.head[3,1]    -6.174    3.885
       beta.pink.fl.per.head[3,2]    -5.000    6.650
       beta.pink.fl.per.head[4,1]    -5.319    5.767
       beta.pink.fl.per.head[4,2]    -6.434    6.202
            beta.pink.infest[1,1]    -4.648    6.752
            beta.pink.infest[1,2]    -1.486    7.225
            beta.pink.infest[2,1]    -9.098    0.787
            beta.pink.infest[2,2]    -7.427    3.960
            beta.pink.infest[3,1]    -7.925    2.296
            beta.pink.infest[3,2]    -5.877    5.199
            beta.pink.infest[4,1]    -7.525    4.325
            beta.pink.infest[4,2]    -7.268    3.051
              beta.pink.long[1,1]    -8.279    4.704
              beta.pink.long[1,2]   -10.579   -1.593*
              beta.pink.long[2,1]   -10.470    1.755
              beta.pink.long[2,2]    -8.487    0.633
              beta.pink.long[3,1]    -9.236    2.559
              beta.pink.long[3,2]    -6.246    3.003
              beta.pink.long[4,1]    -9.812    2.728
              beta.pink.long[4,2]    -7.849   -0.037*
               beta.pink.map[1,1]    -6.650    4.368
               beta.pink.map[1,2]    -5.797    2.436
               beta.pink.map[2,1]    -5.370    4.105
               beta.pink.map[2,2]    -4.035    6.953
               beta.pink.map[3,1]    -6.175    2.657
               beta.pink.map[3,2]    -2.936    7.653
               beta.pink.map[4,1]    -4.157    6.180
               beta.pink.map[4,2]    -6.761    4.106
         beta.pink.seed.mass[1,1]    -4.901    8.510
         beta.pink.seed.mass[1,2]    -7.107    2.879
         beta.pink.seed.mass[2,1]    -7.988    5.101
         beta.pink.seed.mass[2,2]    -5.079    6.725
         beta.pink.seed.mass[3,1]    -5.403    7.545
         beta.pink.seed.mass[3,2]    -6.051    6.367
         beta.pink.seed.mass[4,1]    -9.480    3.758
         beta.pink.seed.mass[4,2]    -7.682    5.690
                 beta.poly.0[1,1]    -9.744    4.700
                 beta.poly.0[1,2]    -9.593    5.264
                 beta.poly.0[1,3]    -9.902    5.178
                 beta.poly.0[1,4]    -5.525    3.463
                 beta.poly.0[2,1]    -8.422    4.781
                 beta.poly.0[2,2]    -8.322    5.414
                 beta.poly.0[2,3]    -6.000    8.605
                 beta.poly.0[2,4]    -5.088    4.042
              beta.poly.elev[1,1]    -7.117    5.584
              beta.poly.elev[1,2]    -3.886    1.860
              beta.poly.elev[2,1]    -7.724    1.625
              beta.poly.elev[2,2]    -1.536    4.323
         beta.poly.fecundity[1,1]    -3.412    8.983
         beta.poly.fecundity[1,2]    -5.094    3.558
         beta.poly.fecundity[2,1]    -4.509    5.912
         beta.poly.fecundity[2,2]    -2.882    4.035
       beta.poly.fl.per.head[1,1]    -6.619    5.226
       beta.poly.fl.per.head[1,2]    -0.304    7.645
       beta.poly.fl.per.head[2,1]    -2.527    6.571
       beta.poly.fl.per.head[2,2]    -9.773    0.055
            beta.poly.infest[1,1]    -4.179    7.376
            beta.poly.infest[1,2]    -0.317    6.144
            beta.poly.infest[2,1]    -8.989    0.833
            beta.poly.infest[2,2]    -3.149    4.163
              beta.poly.long[1,1]    -6.050    7.067
              beta.poly.long[1,2]    -2.517    2.471
              beta.poly.long[2,1]    -6.259    4.787
              beta.poly.long[2,2]    -4.250    1.606
               beta.poly.map[1,1]    -6.120    4.514
               beta.poly.map[1,2]    -3.608    3.534
               beta.poly.map[2,1]    -2.685    3.214
               beta.poly.map[2,2]    -0.533    6.911
         beta.poly.seed.mass[1,1]    -2.408   11.178
         beta.poly.seed.mass[1,2]    -2.240    4.878
         beta.poly.seed.mass[2,1]    -6.223    6.487
         beta.poly.seed.mass[2,2]     0.313   11.965*
           beta.seed.mass.elev[1]    -0.896    1.195
           beta.seed.mass.elev[2]    -0.620   -0.117*
           beta.seed.mass.long[1]    -0.658    0.425
           beta.seed.mass.long[2]    -0.364    0.443
            beta.seed.mass.map[1]    -0.732    0.756
            beta.seed.mass.map[2]    -0.639   -0.083*
                         deviance   176.506  239.107*
         eps.fecundity.species[1]    -1.770   -0.612*
         eps.fecundity.species[2]    -3.232    0.610
         eps.fecundity.species[3]    -2.228    0.087
         eps.fecundity.species[4]     0.550    1.135*
       eps.fl.per.head.species[1]    -1.639   -0.276*
       eps.fl.per.head.species[2]    -1.719    2.731
       eps.fl.per.head.species[3]     0.035    2.758*
       eps.fl.per.head.species[4]    -0.454    0.246
            eps.infest.species[1]    -5.220    2.998
            eps.infest.species[2]    -4.323    2.982
            eps.infest.species[3]    -6.729    3.516
            eps.infest.species[4]    -0.917    1.570
         eps.seed.mass.species[1]    -1.365   -0.212*
         eps.seed.mass.species[2]    -2.438    1.475
         eps.seed.mass.species[3]    -2.486   -0.179*
         eps.seed.mass.species[4]     0.345    0.942*
                    tau.fecundity     1.436    7.380*
                  tau.fl.per.head     1.009    5.187*
                    tau.seed.mass     1.498    7.293*



