analysis-zeros.txt 
  Dbar: 240.8228
  Dhat: 187.9905
    pD: 52.83233
   DIC: 293.6552



 analysis-zeros.txt results...Inference for Bugs model at "analysis-zeros.txt", fit using jags,
beta.pink.fl.per.head[2,2]   0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.fl.per.head[3,2]   0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.fl.per.head[4,2]   0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.infest[1,1]        3.213   1.468   0.638   2.174   3.115   4.154   6.355 1.001 13000
beta.pink.infest[2,1]       -3.079   1.369  -5.973  -3.964  -3.014  -2.134  -0.546 1.001  8700
beta.pink.infest[3,1]       -1.527   1.340  -4.231  -2.411  -1.510  -0.610   1.063 1.001 14000
beta.pink.infest[4,1]       -1.110   1.789  -4.641  -2.306  -1.102   0.095   2.387 1.001 25000
beta.pink.infest[1,2]        3.213   1.468   0.638   2.174   3.115   4.154   6.355 1.001 13000
beta.pink.infest[2,2]       -3.079   1.369  -5.973  -3.964  -3.014  -2.134  -0.546 1.001  8700
beta.pink.infest[3,2]       -1.527   1.340  -4.231  -2.411  -1.510  -0.610   1.063 1.001 14000
beta.pink.infest[4,2]       -1.110   1.789  -4.641  -2.306  -1.102   0.095   2.387 1.001 25000
beta.pink.long[1,1]         -1.186   1.545  -4.351  -2.199  -1.135  -0.140   1.757 1.001 25000
beta.pink.long[2,1]         -3.780   1.477  -6.911  -4.729  -3.687  -2.736  -1.143 1.001 16000
beta.pink.long[3,1]         -0.514   1.282  -3.024  -1.362  -0.519   0.325   2.056 1.001  8700
beta.pink.long[4,1]         -2.093   1.501  -5.155  -3.071  -2.025  -1.061   0.692 1.001 25000
beta.pink.long[1,2]         -1.186   1.545  -4.351  -2.199  -1.135  -0.140   1.757 1.001 25000
beta.pink.long[2,2]         -3.780   1.477  -6.911  -4.729  -3.687  -2.736  -1.143 1.001 16000
beta.pink.long[3,2]         -0.514   1.282  -3.024  -1.362  -0.519   0.325   2.056 1.001  8700
beta.pink.long[4,2]         -2.093   1.501  -5.155  -3.071  -2.025  -1.061   0.692 1.001 25000
beta.pink.map[1,1]           0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.map[2,1]           0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.map[3,1]           0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.map[4,1]           0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.map[1,2]           0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.map[2,2]           0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.map[3,2]           0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.map[4,2]           0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.seed.mass[1,1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.seed.mass[2,1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.seed.mass[3,1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.seed.mass[4,1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.seed.mass[1,2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.seed.mass[2,2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.seed.mass[3,2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.seed.mass[4,2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.0[1,1]             0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.0[2,1]             0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.0[1,2]             0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.0[2,2]             0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.0[1,3]             0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.0[2,3]             0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.0[1,4]             0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.0[2,4]             0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.elev[1,1]          0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.elev[2,1]          0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.elev[1,2]          0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.elev[2,2]          0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.fecundity[1,1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.fecundity[2,1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.fecundity[1,2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.fecundity[2,2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.fl.per.head[1,1]   0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.fl.per.head[2,1]   0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.fl.per.head[1,2]   0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.fl.per.head[2,2]   0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.infest[1,1]        1.860   0.763   0.497   1.329   1.809   2.342   3.481 1.001 23000
beta.poly.infest[2,1]       -1.220   0.698  -2.731  -1.657  -1.174  -0.724  -0.005 1.001 25000
beta.poly.infest[1,2]        1.860   0.763   0.497   1.329   1.809   2.342   3.481 1.001 23000
beta.poly.infest[2,2]       -1.220   0.698  -2.731  -1.657  -1.174  -0.724  -0.005 1.001 25000
beta.poly.long[1,1]          0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.long[2,1]          0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.long[1,2]          0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.long[2,2]          0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.map[1,1]           0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.map[2,1]           0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.map[1,2]           0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.map[2,2]           0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.seed.mass[1,1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.seed.mass[2,1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.seed.mass[1,2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.poly.seed.mass[2,2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.seed.mass.elev[1]      -0.355   0.112  -0.574  -0.428  -0.355  -0.282  -0.135 1.001 25000
beta.seed.mass.elev[2]      -0.355   0.112  -0.574  -0.428  -0.355  -0.282  -0.135 1.001 25000
beta.seed.mass.long[1]       0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.seed.mass.long[2]       0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.seed.mass.map[1]       -0.312   0.120  -0.549  -0.390  -0.312  -0.234  -0.078 1.001 17000
beta.seed.mass.map[2]       -0.312   0.120  -0.549  -0.390  -0.312  -0.234  -0.078 1.001 17000
eps.fecundity.species[1]    -1.213   0.276  -1.752  -1.395  -1.214  -1.034  -0.664 1.001 15000
eps.fecundity.species[2]    -1.389   0.405  -2.183  -1.652  -1.391  -1.125  -0.581 1.001 25000
eps.fecundity.species[3]    -0.910   0.320  -1.531  -1.119  -0.911  -0.702  -0.270 1.001 20000
eps.fecundity.species[4]     0.696   0.145   0.407   0.602   0.696   0.791   0.986 1.001 25000
eps.fl.per.head.species[1]  -0.982   0.323  -1.624  -1.193  -0.983  -0.770  -0.346 1.001 25000
eps.fl.per.head.species[2]   0.881   0.454  -0.029   0.586   0.883   1.179   1.771 1.001 25000
eps.fl.per.head.species[3]   1.740   0.372   0.998   1.500   1.741   1.980   2.472 1.001 25000
eps.fl.per.head.species[4]  -0.209   0.167  -0.539  -0.318  -0.208  -0.101   0.122 1.001 25000
eps.infest.species[1]       -0.021   0.364  -0.736  -0.260  -0.021   0.218   0.694 1.001 25000
eps.infest.species[2]        0.257   0.517  -0.760  -0.082   0.253   0.599   1.270 1.001 25000
eps.infest.species[3]       -1.895   0.421  -2.735  -2.168  -1.892  -1.622  -1.064 1.001 25000
eps.infest.species[4]        0.356   0.188  -0.014   0.233   0.356   0.480   0.729 1.001 25000
eps.seed.mass.species[1]    -0.944   0.247  -1.430  -1.105  -0.944  -0.784  -0.450 1.001 13000
eps.seed.mass.species[2]    -1.230   0.363  -1.949  -1.469  -1.234  -0.995  -0.508 1.001 25000
eps.seed.mass.species[3]    -1.060   0.332  -1.716  -1.275  -1.063  -0.848  -0.392 1.001 25000
eps.seed.mass.species[4]     0.630   0.131   0.371   0.545   0.630   0.716   0.891 1.001 25000
tau.fecundity                3.688   1.193   1.733   2.826   3.558   4.414   6.393 1.001 18000
tau.fl.per.head              2.647   0.837   1.261   2.049   2.561   3.154   4.500 1.001 25000
tau.seed.mass                4.621   1.532   2.125   3.522   4.458   5.537   8.098 1.001 19000
deviance                   240.823  10.280 222.718 233.564 240.095 247.313 262.800 1.001 13000

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 52.8 and DIC = 293.7
DIC is an estimate of expected predictive error (lower deviance is better).



95% HPD intervals
                      Coefficient        lo       hi
---------------------------------   -------  -------
                  alpha.pink.0[1]     0.000    0.000
                  alpha.pink.0[2]     0.000    0.000
                  alpha.pink.0[3]     0.000    0.000
                  alpha.pink.0[4]     0.000    0.000
                  alpha.pink.elev     0.000    0.000
             alpha.pink.fecundity     0.000    0.000
           alpha.pink.fl.per.head     0.000    0.000
                alpha.pink.infest     0.000    0.000
                  alpha.pink.long     0.000    0.000
                   alpha.pink.map     0.000    0.000
             alpha.pink.seed.mass     0.000    0.000
                  alpha.poly.0[1]     0.000    0.000
                  alpha.poly.0[2]     0.000    0.000
                  alpha.poly.elev     0.000    0.000
             alpha.poly.fecundity     0.000    0.000
           alpha.poly.fl.per.head     0.000    0.000
                alpha.poly.infest     0.000    0.000
                  alpha.poly.long     0.000    0.000
                   alpha.poly.map     0.000    0.000
             alpha.poly.seed.mass     0.000    0.000
           beta.fecundity.elev[1]    -0.502   -0.013*
           beta.fecundity.elev[2]    -0.502   -0.013*
           beta.fecundity.long[1]     0.000    0.000
           beta.fecundity.long[2]     0.000    0.000
            beta.fecundity.map[1]     0.000    0.000
            beta.fecundity.map[2]     0.000    0.000
         beta.fl.per.head.elev[1]     0.000    0.000
         beta.fl.per.head.elev[2]     0.000    0.000
         beta.fl.per.head.long[1]     0.000    0.000
         beta.fl.per.head.long[2]     0.000    0.000
          beta.fl.per.head.map[1]     0.000    0.000
          beta.fl.per.head.map[2]     0.000    0.000
              beta.infest.elev[1]     0.000    0.000
              beta.infest.elev[2]     0.000    0.000
         beta.infest.fecundity[1]     0.000    0.000
         beta.infest.fecundity[2]     0.000    0.000
       beta.infest.fl.per.head[1]     0.000    0.000
       beta.infest.fl.per.head[2]     0.000    0.000
              beta.infest.long[1]     0.000    0.000
              beta.infest.long[2]     0.000    0.000
               beta.infest.map[1]     0.000    0.000
               beta.infest.map[2]     0.000    0.000
         beta.infest.seed.mass[1]     0.000    0.000
         beta.infest.seed.mass[2]     0.000    0.000
                 beta.pink.0[1,1]    -6.545    2.986
                 beta.pink.0[1,2]    -7.633    1.244
                 beta.pink.0[1,3]    -6.601    4.361
                 beta.pink.0[1,4]    -3.439    2.654
                 beta.pink.0[2,1]    -7.593   -0.427*
                 beta.pink.0[2,2]    -6.939    1.345
                 beta.pink.0[2,3]    -5.684    4.660
                 beta.pink.0[2,4]    -3.603    2.581
                 beta.pink.0[3,1]     0.592    8.560*
                 beta.pink.0[3,2]    -2.349    7.166
                 beta.pink.0[3,3]    -7.013    2.538
                 beta.pink.0[3,4]     0.498    7.270*
                 beta.pink.0[4,1]    -3.271    6.738
                 beta.pink.0[4,2]    -4.699    6.315
                 beta.pink.0[4,3]    -3.881    6.748
                 beta.pink.0[4,4]    -1.610    7.315
              beta.pink.elev[1,1]    -0.503    4.203
              beta.pink.elev[1,2]    -0.503    4.203
              beta.pink.elev[2,1]    -6.418   -0.923*
              beta.pink.elev[2,2]    -6.418   -0.923*
              beta.pink.elev[3,1]    -6.325   -0.670*
              beta.pink.elev[3,2]    -6.325   -0.670*
              beta.pink.elev[4,1]    -1.871    5.089
              beta.pink.elev[4,2]    -1.871    5.089
         beta.pink.fecundity[1,1]     0.000    0.000
         beta.pink.fecundity[1,2]     0.000    0.000
         beta.pink.fecundity[2,1]     0.000    0.000
         beta.pink.fecundity[2,2]     0.000    0.000
         beta.pink.fecundity[3,1]     0.000    0.000
         beta.pink.fecundity[3,2]     0.000    0.000
         beta.pink.fecundity[4,1]     0.000    0.000
         beta.pink.fecundity[4,2]     0.000    0.000
       beta.pink.fl.per.head[1,1]     0.000    0.000
       beta.pink.fl.per.head[1,2]     0.000    0.000
       beta.pink.fl.per.head[2,1]     0.000    0.000
       beta.pink.fl.per.head[2,2]     0.000    0.000
       beta.pink.fl.per.head[3,1]     0.000    0.000
       beta.pink.fl.per.head[3,2]     0.000    0.000
       beta.pink.fl.per.head[4,1]     0.000    0.000
       beta.pink.fl.per.head[4,2]     0.000    0.000
            beta.pink.infest[1,1]     0.501    6.147*
            beta.pink.infest[1,2]     0.501    6.147*
            beta.pink.infest[2,1]    -5.848   -0.464*
            beta.pink.infest[2,2]    -5.848   -0.464*
            beta.pink.infest[3,1]    -4.113    1.174
            beta.pink.infest[3,2]    -4.113    1.174
            beta.pink.infest[4,1]    -4.654    2.368
            beta.pink.infest[4,2]    -4.654    2.368
              beta.pink.long[1,1]    -4.221    1.862
              beta.pink.long[1,2]    -4.221    1.862
              beta.pink.long[2,1]    -6.721   -0.995*
              beta.pink.long[2,2]    -6.721   -0.995*
              beta.pink.long[3,1]    -3.034    2.042
              beta.pink.long[3,2]    -3.034    2.042
              beta.pink.long[4,1]    -5.014    0.829
              beta.pink.long[4,2]    -5.014    0.829
               beta.pink.map[1,1]     0.000    0.000
               beta.pink.map[1,2]     0.000    0.000
               beta.pink.map[2,1]     0.000    0.000
               beta.pink.map[2,2]     0.000    0.000
               beta.pink.map[3,1]     0.000    0.000
               beta.pink.map[3,2]     0.000    0.000
               beta.pink.map[4,1]     0.000    0.000
               beta.pink.map[4,2]     0.000    0.000
         beta.pink.seed.mass[1,1]     0.000    0.000
         beta.pink.seed.mass[1,2]     0.000    0.000
         beta.pink.seed.mass[2,1]     0.000    0.000
         beta.pink.seed.mass[2,2]     0.000    0.000
         beta.pink.seed.mass[3,1]     0.000    0.000
         beta.pink.seed.mass[3,2]     0.000    0.000
         beta.pink.seed.mass[4,1]     0.000    0.000
         beta.pink.seed.mass[4,2]     0.000    0.000
                 beta.poly.0[1,1]     0.000    0.000
                 beta.poly.0[1,2]     0.000    0.000
                 beta.poly.0[1,3]     0.000    0.000
                 beta.poly.0[1,4]     0.000    0.000
                 beta.poly.0[2,1]     0.000    0.000
                 beta.poly.0[2,2]     0.000    0.000
                 beta.poly.0[2,3]     0.000    0.000
                 beta.poly.0[2,4]     0.000    0.000
              beta.poly.elev[1,1]     0.000    0.000
              beta.poly.elev[1,2]     0.000    0.000
              beta.poly.elev[2,1]     0.000    0.000
              beta.poly.elev[2,2]     0.000    0.000
         beta.poly.fecundity[1,1]     0.000    0.000
         beta.poly.fecundity[1,2]     0.000    0.000
         beta.poly.fecundity[2,1]     0.000    0.000
         beta.poly.fecundity[2,2]     0.000    0.000
       beta.poly.fl.per.head[1,1]     0.000    0.000
       beta.poly.fl.per.head[1,2]     0.000    0.000
       beta.poly.fl.per.head[2,1]     0.000    0.000
       beta.poly.fl.per.head[2,2]     0.000    0.000
            beta.poly.infest[1,1]     0.390    3.344*
            beta.poly.infest[1,2]     0.390    3.344*
            beta.poly.infest[2,1]    -2.636    0.067
            beta.poly.infest[2,2]    -2.636    0.067
              beta.poly.long[1,1]     0.000    0.000
              beta.poly.long[1,2]     0.000    0.000
              beta.poly.long[2,1]     0.000    0.000
              beta.poly.long[2,2]     0.000    0.000
               beta.poly.map[1,1]     0.000    0.000
               beta.poly.map[1,2]     0.000    0.000
               beta.poly.map[2,1]     0.000    0.000
               beta.poly.map[2,2]     0.000    0.000
         beta.poly.seed.mass[1,1]     0.000    0.000
         beta.poly.seed.mass[1,2]     0.000    0.000
         beta.poly.seed.mass[2,1]     0.000    0.000
         beta.poly.seed.mass[2,2]     0.000    0.000
           beta.seed.mass.elev[1]    -0.574   -0.135*
           beta.seed.mass.elev[2]    -0.574   -0.135*
           beta.seed.mass.long[1]     0.000    0.000
           beta.seed.mass.long[2]     0.000    0.000
            beta.seed.mass.map[1]    -0.548   -0.077*
            beta.seed.mass.map[2]    -0.548   -0.077*
                         deviance   222.208  261.995*
         eps.fecundity.species[1]    -1.748   -0.661*
         eps.fecundity.species[2]    -2.173   -0.574*
         eps.fecundity.species[3]    -1.553   -0.293*
         eps.fecundity.species[4]     0.401    0.977*
       eps.fl.per.head.species[1]    -1.625   -0.348*
       eps.fl.per.head.species[2]    -0.022    1.776
       eps.fl.per.head.species[3]     0.995    2.465*
       eps.fl.per.head.species[4]    -0.537    0.123
            eps.infest.species[1]    -0.718    0.709
            eps.infest.species[2]    -0.794    1.234
            eps.infest.species[3]    -2.739   -1.072*
            eps.infest.species[4]    -0.013    0.730
         eps.seed.mass.species[1]    -1.430   -0.449*
         eps.seed.mass.species[2]    -1.930   -0.490*
         eps.seed.mass.species[3]    -1.722   -0.398*
         eps.seed.mass.species[4]     0.367    0.886*
                    tau.fecundity     1.489    6.010*
                  tau.fl.per.head     1.123    4.294*
                    tau.seed.mass     1.840    7.630*



Posterior comparisons of regression coefficients...
    repens - non.repens

Environmental coefficients...
beta.fecundity.elev: -0.001 (-0.349,0.34)
beta.fecundity.long: 0 (0,0)
beta.fecundity.map: 0 (0,0)
beta.fl.per.head.elev: 0 (0,0)
beta.fl.per.head.long: 0 (0,0)
beta.fl.per.head.map: 0 (0,0)
beta.seed.mass.elev: 0 (-0.315,0.306)
beta.seed.mass.long: 0 (0,0)
beta.seed.mass.map: 0.001 (-0.332,0.332)
 
Infestation coefficients...
beta.infest.elev: 0 (0,0)
beta.infest.fecundity: 0 (0,0)
beta.infest.fl.per.head: 0 (0,0)
beta.infest.long: 0 (0,0)
beta.infest.map: 0 (0,0)
beta.infest.seed.mass: 0 (0,0)
 
Pink coefficients...
beta.pink.elev[1]: 0.006 (-3.359,3.347)
beta.pink.elev[2]: 0.025 (-3.964,3.924)
beta.pink.elev[3]: -0.009 (-3.902,4.046)
beta.pink.elev[4]: -0.001 (-4.934,4.737)
